,ant,frame,video,colony,date,t,x,y
192,3,15478,1,1,1/11/17,20:12:20,456,984
193,3,15479,1,1,1/11/17,20:12:20,456,992
194,3,15480,1,1,1/11/17,20:12:20,448,996
195,3,15481,1,1,1/11/17,20:12:20,444,1000
196,3,15482,1,1,1/11/17,20:12:20,448,1000
197,3,15483,1,1,1/11/17,20:12:20,424,1000
198,3,15484,1,1,1/11/17,20:12:20,424,1000
199,3,15485,1,1,1/11/17,20:12:20,440,1000
200,3,15486,1,1,1/11/17,20:12:20,456,1004
201,3,15487,1,1,1/11/17,20:12:20,504,984
202,3,15488,1,1,1/11/17,20:12:20,508,984
203,3,15489,1,1,1/11/17,20:12:20,496,988
204,3,15490,1,1,1/11/17,20:12:20,476,992
205,3,15491,1,1,1/11/17,20:12:20,460,992
206,3,15492,1,1,1/11/17,20:12:20,444,996
207,3,15493,1,1,1/11/17,20:12:20,428,996
208,3,15494,1,1,1/11/17,20:12:20,312,1004
209,3,15495,1,1,1/11/17,20:12:20,328,1012
210,3,15496,1,1,1/11/17,20:12:20,352,996
211,3,15497,1,1,1/11/17,20:12:20,348,996
212,3,15498,1,1,1/11/17,20:12:20,392,1008
213,3,15499,1,1,1/11/17,20:12:20,392,1004
214,3,15500,1,1,1/11/17,20:12:20,388,1004
215,3,15501,1,1,1/11/17,20:12:21,388,1004
216,3,15502,1,1,1/11/17,20:12:21,384,1004
217,3,15503,1,1,1/11/17,20:12:21,384,1004
218,3,15504,1,1,1/11/17,20:12:21,384,1004
219,3,15505,1,1,1/11/17,20:12:21,376,1004
220,3,15506,1,1,1/11/17,20:12:21,320,1008
221,3,15507,1,1,1/11/17,20:12:21,268,1008
222,3,15508,1,1,1/11/17,20:12:21,272,1008
223,3,15509,1,1,1/11/17,20:12:21,272,1004
224,3,15510,1,1,1/11/17,20:12:21,272,1004
225,3,15511,1,1,1/11/17,20:12:21,272,1004
226,3,15512,1,1,1/11/17,20:12:21,264,1008
227,3,15513,1,1,1/11/17,20:12:21,264,1012
228,3,15514,1,1,1/11/17,20:12:21,260,1016
229,3,15515,1,1,1/11/17,20:12:21,260,1016
230,3,15516,1,1,1/11/17,20:12:21,260,1016
231,3,15517,1,1,1/11/17,20:12:21,252,1012
232,3,15518,1,1,1/11/17,20:12:21,252,1016
233,3,15519,1,1,1/11/17,20:12:21,248,1012
234,3,15520,1,1,1/11/17,20:12:21,244,1008
235,3,15521,1,1,1/11/17,20:12:21,240,1004
236,3,15522,1,1,1/11/17,20:12:21,228,996
237,3,15523,1,1,1/11/17,20:12:21,224,996
238,3,15524,1,1,1/11/17,20:12:21,216,984
239,3,15525,1,1,1/11/17,20:12:21,212,968
240,3,15526,1,1,1/11/17,20:12:22,208,956
241,3,15527,1,1,1/11/17,20:12:22,156,944
242,3,15528,1,1,1/11/17,20:12:22,108,932
243,3,15529,1,1,1/11/17,20:12:22,96,924
244,4,15412,1,1,1/11/17,20:12:17,1772,844
245,4,15413,1,1,1/11/17,20:12:17,1748,856
246,4,15414,1,1,1/11/17,20:12:17,1720,856
247,4,15415,1,1,1/11/17,20:12:17,1704,860
248,4,15416,1,1,1/11/17,20:12:17,1708,856
249,4,15417,1,1,1/11/17,20:12:17,1696,856
250,4,15418,1,1,1/11/17,20:12:17,1688,852
251,4,15419,1,1,1/11/17,20:12:17,1676,852
252,4,15420,1,1,1/11/17,20:12:17,1664,848
253,4,15421,1,1,1/11/17,20:12:17,1652,848
254,4,15422,1,1,1/11/17,20:12:17,1636,848
255,4,15423,1,1,1/11/17,20:12:17,1616,848
256,4,15424,1,1,1/11/17,20:12:17,1580,836
257,4,15425,1,1,1/11/17,20:12:17,1564,828
258,4,15426,1,1,1/11/17,20:12:18,1552,828
259,4,15427,1,1,1/11/17,20:12:18,1544,820
260,4,15428,1,1,1/11/17,20:12:18,1500,800
261,4,15429,1,1,1/11/17,20:12:18,1468,784
262,4,15430,1,1,1/11/17,20:12:18,1444,780
263,4,15431,1,1,1/11/17,20:12:18,1436,780
264,4,15432,1,1,1/11/17,20:12:18,1428,776
265,4,15433,1,1,1/11/17,20:12:18,1420,772
266,4,15434,1,1,1/11/17,20:12:18,1404,764
267,4,15435,1,1,1/11/17,20:12:18,1384,752
268,4,15436,1,1,1/11/17,20:12:18,1372,752
269,4,15437,1,1,1/11/17,20:12:18,1340,748
