,ant,frame,video,colony,date,t,x,y
1003124,15,44224,1,6,1/15/17,19:50:36,940,636
1003125,15,44225,1,6,1/15/17,19:50:36,940,636
1003126,15,44226,1,6,1/15/17,19:50:36,932,664
1003127,15,44227,1,6,1/15/17,19:50:36,936,660
1003128,15,44228,1,6,1/15/17,19:50:36,928,656
1003129,15,44229,1,6,1/15/17,19:50:36,928,656
1003130,15,44230,1,6,1/15/17,19:50:36,924,652
1003131,15,44231,1,6,1/15/17,19:50:36,924,652
1003132,15,44232,1,6,1/15/17,19:50:36,928,648
1003133,15,44233,1,6,1/15/17,19:50:36,924,648
1003134,15,44234,1,6,1/15/17,19:50:36,964,628
1003135,15,44235,1,6,1/15/17,19:50:36,960,628
1003136,15,44236,1,6,1/15/17,19:50:37,944,624
1003137,15,44237,1,6,1/15/17,19:50:37,936,624
1003138,15,44238,1,6,1/15/17,19:50:37,924,620
1003139,15,44239,1,6,1/15/17,19:50:37,924,624
1003140,15,44240,1,6,1/15/17,19:50:37,916,620
1003141,15,44241,1,6,1/15/17,19:50:37,916,620
1003142,15,44242,1,6,1/15/17,19:50:37,912,620
1003143,15,44243,1,6,1/15/17,19:50:37,908,620
1003144,15,44244,1,6,1/15/17,19:50:37,912,620
1003145,15,44245,1,6,1/15/17,19:50:37,908,620
1003146,15,44246,1,6,1/15/17,19:50:37,912,620
1003147,15,44247,1,6,1/15/17,19:50:37,916,620
1003148,15,44248,1,6,1/15/17,19:50:37,912,616
1003149,15,44249,1,6,1/15/17,19:50:37,908,616
1003150,15,44250,1,6,1/15/17,19:50:37,912,620
1003151,15,44251,1,6,1/15/17,19:50:37,916,624
1003152,15,44252,1,6,1/15/17,19:50:37,948,612
1003153,15,44253,1,6,1/15/17,19:50:37,948,608
1003154,15,44254,1,6,1/15/17,19:50:37,940,604
1003155,15,44255,1,6,1/15/17,19:50:37,944,600
1003156,15,44256,1,6,1/15/17,19:50:37,948,596
1003157,15,44257,1,6,1/15/17,19:50:37,948,584
1003158,15,44258,1,6,1/15/17,19:50:37,948,584
1003159,15,44259,1,6,1/15/17,19:50:37,952,576
1003160,15,44260,1,6,1/15/17,19:50:37,948,568
1003161,15,44261,1,6,1/15/17,19:50:37,952,564
1003162,15,44262,1,6,1/15/17,19:50:37,952,564
1003163,15,44263,1,6,1/15/17,19:50:37,940,532
1003164,15,44264,1,6,1/15/17,19:50:37,936,524
1003165,15,44265,1,6,1/15/17,19:50:37,928,520
1003166,15,44266,1,6,1/15/17,19:50:38,916,516
1003167,15,44267,1,6,1/15/17,19:50:38,900,504
